ITEM  ,QTY  ,RATE  ,AMOUNT  ,Invoice_Tax,Invoice_ID,Issue_Date,Due_Date,Customer_Name,Customer_EmailID,Customer_Phone,Customer_Address,Business_Street,Business_City,Business_Country,Business_ZipCode,Business_Name,Business_Description
Handcrafted Metal Car  ,72,29,$2088  ,10.0,Invoice# SV88JAVJ47172859123136611107,12-05-2023,14-06-2023,Terri Ernser ,Terri.Ernser@yahoo.com ,415-897-1517 ,231 Jayne Fields Mwanza ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Unbranded Metal Soap  ,74,67,$4958  ,10.0,Invoice# SV88JAVJ47172859123136611107,12-05-2023,14-06-2023,Terri Ernser ,Terri.Ernser@yahoo.com ,415-897-1517 ,231 Jayne Fields Mwanza ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Awesome Soft Hat  ,26,96,$2496  ,10.0,Invoice# SV88JAVJ47172859123136611107,12-05-2023,14-06-2023,Terri Ernser ,Terri.Ernser@yahoo.com ,415-897-1517 ,231 Jayne Fields Mwanza ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Awesome Steel Mouse  ,110,95,$10450  ,10.0,Invoice# SV88JAVJ47172859123136611107,12-05-2023,14-06-2023,Terri Ernser ,Terri.Ernser@yahoo.com ,415-897-1517 ,231 Jayne Fields Mwanza ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
﻿Ergonomic Wooden Sausages  ,89,58,$5162  ,10.0,Invoice# PT50018498671400748986119,12-05-2023,03-07-2023,Candace Gerhold ,Candace3@yahoo.com ,633-008-6596 ,533 Hintz Pine Cotton Ground ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Handmade Steel Hat  ,87,53,$4611  ,10.0,Invoice# PT50018498671400748986119,12-05-2023,03-07-2023,Candace Gerhold ,Candace3@yahoo.com ,633-008-6596 ,533 Hintz Pine Cotton Ground ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Awesome Granite Sausages  ,45,20,$900  ,10.0,Invoice# PT50018498671400748986119,12-05-2023,03-07-2023,Candace Gerhold ,Candace3@yahoo.com ,633-008-6596 ,533 Hintz Pine Cotton Ground ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Gorgeous Wooden Shoes  ,60,85,$5100  ,10.0,Invoice# PT50018498671400748986119,12-05-2023,03-07-2023,Candace Gerhold ,Candace3@yahoo.com ,633-008-6596 ,533 Hintz Pine Cotton Ground ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Incredible Concrete Bacon  ,12,18,$216  ,10.0,Invoice# PT50018498671400748986119,12-05-2023,03-07-2023,Candace Gerhold ,Candace3@yahoo.com ,633-008-6596 ,533 Hintz Pine Cotton Ground ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Small Wooden Hat  ,29,52,$1508  ,10.0,Invoice# PT50018498671400748986119,12-05-2023,03-07-2023,Candace Gerhold ,Candace3@yahoo.com ,633-008-6596 ,533 Hintz Pine Cotton Ground ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Incredible Steel Hat  ,76,94,$7144  ,10.0,Invoice# PT50018498671400748986119,12-05-2023,03-07-2023,Candace Gerhold ,Candace3@yahoo.com ,633-008-6596 ,533 Hintz Pine Cotton Ground ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Incredible Cotton Keyboard  ,69,91,$6279  ,10.0,Invoice# PT50018498671400748986119,12-05-2023,03-07-2023,Candace Gerhold ,Candace3@yahoo.com ,633-008-6596 ,533 Hintz Pine Cotton Ground ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Ergonomic Concrete Chicken  ,11,58,$638  ,10.0,Invoice# PT50018498671400748986119,12-05-2023,03-07-2023,Candace Gerhold ,Candace3@yahoo.com ,633-008-6596 ,533 Hintz Pine Cotton Ground ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
﻿Incredible Metal Salad  ,20,29,$580  ,,Invoice# MR1554185689725188627992186,12-05-2023,19-06-2023,Willis Koelpin ,Willis_Koelpin4@yahoo.com,783-402-5895 ,353 Cara Shoals Suchitlán ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Practical Cotton Table  ,34,33,$1122  ,,Invoice# MR1554185689725188627992186,12-05-2023,19-06-2023,Willis Koelpin ,Willis_Koelpin4@yahoo.com,783-402-5895 ,353 Cara Shoals Suchitlán ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Small Frozen Towels  ,114,66,$7524  ,,Invoice# MR1554185689725188627992186,12-05-2023,19-06-2023,Willis Koelpin ,Willis_Koelpin4@yahoo.com,783-402-5895 ,353 Cara Shoals Suchitlán ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Intelligent Soft Chips  ,43,95,$4085  ,,Invoice# MR1554185689725188627992186,12-05-2023,19-06-2023,Willis Koelpin ,Willis_Koelpin4@yahoo.com,783-402-5895 ,353 Cara Shoals Suchitlán ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
Ergonomic Metal Salad  ,34,58,$1972  ,,Invoice# MR1554185689725188627992186,12-05-2023,19-06-2023,Willis Koelpin ,Willis_Koelpin4@yahoo.com,783-402-5895 ,353 Cara Shoals Suchitlán ," 3741 Glory Road,","Jamestown,","Tennessee, USA",38556,NearBy Electronics ,We are here to serve you better. Reach out to us in case of any concern or feedbacks. 
